Purchase Summary Report
 State, Gender, Purchase Amount
co,f,f
ca,f,f
al,m,f
la,m,f
al,f,f
ny,m,f
ok,m,f
il,m,f
ca,m,f
pa,f,f
al,m,f
ne,f,f
nv,u,f
co,f,f
ma,m,f
ms,m,f
sd,m,f
ak,f,f
ca,u,f
ny,m,f
wv,m,f
nc,m,f
oh,f,f
pa,m,f
oh,f,f
va,m,f
tx,m,f
al,m,f
or,m,f
fl,f,f
tx,m,f
sc,m,f
mi,m,f
tx,f,f
al,m,f
ca,m,f
mo,f,f
nv,f,f
co,m,f
pa,m,f
in,f,f
mn,f,f
wv,f,f
va,m,f
nc,m,f
ca,f,f
mn,m,f
co,m,f
sc,m,f
pa,f,f
oh,f,f
co,f,f
nv,f,f
tn,f,f
hi,m,f
oh,m,f
wv,f,f
la,f,f
tx,f,f
ca,m,f
ga,f,f
wv,f,f
tx,m,f
fl,m,f
la,f,f
fl,f,f
co,m,f
pa,f,f
ny,f,f
mi,m,f
tn,f,f
oh,m,f
in,f,f
ar,m,f
fl,f,f
co,f,f
fl,m,f
ca,m,f
va,f,f
az,f,f
fl,m,f
ga,f,f
fl,f,f
ca,u,f
wa,f,f
mo,m,f
dc,m,f
ca,f,f
nj,f,f
ny,m,f
tn,m,f
tx,m,f
al,m,f
mi,f,f
ca,f,f
ky,m,f
il,f,f
fl,f,f
ny,f,f
nm,m,f
tx,f,f
ks,f,f
ms,f,f
ia,m,f
pa,m,f
dc,m,f
il,m,f
tx,f,f
dc,f,f
ky,f,f
ny,m,f
md,m,f
oh,m,f
ny,m,f
ks,m,f
ca,u,f
wv,f,f
ny,f,f
az,f,f
fl,m,f
il,m,f
pa,m,f
ca,f,f
az,m,f
tx,f,f
ca,f,f
fl,m,f
tx,f,f
in,m,f
ca,f,f
ga,m,f
in,m,f
fl,f,f
ia,f,f
ca,m,f
ny,f,f
ca,m,f
wi,f,f
sc,m,f
tx,f,f
va,m,f
nj,f,f
oh,m,f
md,m,f
in,m,f
al,m,f
tx,m,f
pa,m,f
wa,m,f
tx,f,f
ny,m,f
pa,f,f
nv,m,f
nj,f,f
id,m,f
dc,m,f
al,m,f
tn,f,f
va,m,f
co,m,f
ca,m,f
ga,m,f
ar,f,f
oh,m,f
ny,f,f
ms,f,f
ca,m,f
az,m,f
ma,f,f
ca,f,f
ga,m,f
tx,m,f
oh,m,f
hi,f,f
co,f,f
az,f,f
tn,f,f
al,m,f
